X,Y,Temperatur,Month
5.0,2.0,1.0,4.0
5.0,2.0,1.0,5.0
5.0,2.0,1.0,6.0
5.0,2.0,1.0,7.0
5.0,2.0,1.0,8.0
5.0,2.0,2.0,9.0
5.0,2.0,1.0,10.0
5.0,2.0,2.0,11.0
5.0,2.0,4.0,12.0
6.0,1.0,1.0,1.0
6.0,1.0,1.0,2.0
6.0,1.0,1.0,3.0
6.0,1.0,1.0,4.0
6.0,1.0,0.0,5.0
6.0,1.0,1.0,6.0
6.0,1.0,1.0,7.0
6.0,1.0,1.0,8.0
6.0,1.0,2.0,9.0
6.0,1.0,1.0,10.0
6.0,1.0,1.0,11.0
6.0,1.0,3.0,12.0
6.0,7.0,1.0,1.0
6.0,7.0,1.0,2.0
6.0,7.0,1.0,3.0
6.0,7.0,0.0,4.0
6.0,7.0,1.0,5.0
6.0,7.0,1.0,6.0
6.0,7.0,2.0,7.0
6.0,7.0,1.0,8.0
6.0,7.0,1.0,9.0
6.0,7.0,2.0,10.0
6.0,7.0,2.0,11.0
6.0,7.0,2.0,12.0
8.2,3.8,1.0,1.0
8.2,3.8,1.0,2.0
8.2,3.8,1.0,3.0
8.2,3.8,0.0,4.0
8.2,3.8,1.0,5.0
8.2,3.8,1.0,6.0
8.2,3.8,1.0,7.0
8.2,3.8,1.0,8.0
8.2,3.8,1.0,9.0
8.2,3.8,1.0,10.0
8.2,3.8,2.0,11.0
8.2,3.8,3.0,12.0
8.0,6.0,1.0,1.0
8.0,6.0,1.0,2.0
8.0,6.0,2.0,3.0
8.0,6.0,1.0,4.0
8.0,6.0,1.0,5.0
8.0,6.0,1.0,6.0
8.0,6.0,2.0,7.0
8.0,6.0,1.0,8.0
8.0,6.0,2.0,9.0
8.0,6.0,2.0,10.0
8.0,6.0,3.0,11.0
8.0,6.0,3.0,12.0
9.0,5.0,1.0,1.0
9.0,5.0,1.0,2.0
9.0,5.0,1.0,3.0
9.0,5.0,1.0,4.0
9.0,5.0,1.0,5.0
9.0,5.0,1.0,6.0
9.0,5.0,1.0,7.0
9.0,5.0,1.0,8.0
9.0,5.0,1.0,9.0
9.0,5.0,1.0,10.0
9.0,5.0,2.0,11.0
9.0,5.0,3.0,12.0
10.0,0.5,1.0,1.0
10.0,0.5,1.0,2.0
10.0,0.5,1.0,3.0
10.0,0.5,1.0,4.0
10.0,0.5,1.0,5.0
10.0,0.5,2.0,6.0
10.0,0.5,1.0,7.0
10.0,0.5,3.0,8.0
10.0,0.5,4.0,9.0
10.0,0.5,2.0,10.0
10.0,0.5,2.0,11.0
10.0,0.5,2.0,12.0
10.0,2.0,1.0,1.0
10.0,2.0,1.0,2.0
10.0,2.0,1.0,3.0
10.0,2.0,2.0,4.0
10.0,2.0,1.0,5.0
10.0,2.0,1.0,6.0
10.0,2.0,2.0,7.0
10.0,2.0,2.0,8.0
10.0,2.0,4.0,9.0
10.0,2.0,2.0,10.0
10.0,2.0,2.0,11.0
10.0,2.0,1.0,12.0
11.0,9.0,1.0,1.0
11.0,9.0,1.0,2.0
11.0,9.0,1.0,3.0
11.0,9.0,1.0,4.0
11.0,9.0,1.0,5.0
11.0,9.0,1.0,6.0
11.0,9.0,2.0,7.0
11.0,9.0,3.0,8.0
11.0,9.0,2.0,9.0
11.0,9.0,2.0,10.0
11.0,9.0,1.0,11.0
11.0,9.0,2.0,12.0
12.0,1.5,1.0,1.0
12.0,1.5,1.0,2.0
12.0,1.5,1.0,3.0
12.0,1.5,1.0,4.0
12.0,1.5,1.0,5.0
12.0,1.5,1.0,6.0
12.0,1.5,1.0,7.0
12.0,1.5,3.0,8.0
12.0,1.5,3.0,9.0
12.0,1.5,2.0,10.0
12.0,1.5,1.0,11.0
12.0,1.5,1.0,12.0
12.0,5.0,1.0,1.0
12.0,5.0,1.0,2.0
12.0,5.0,1.0,3.0
12.0,5.0,1.0,4.0
12.0,5.0,1.0,5.0
12.0,5.0,1.0,6.0
12.0,5.0,1.0,7.0
12.0,5.0,3.0,8.0
12.0,5.0,3.0,9.0
12.0,5.0,2.0,10.0
12.0,5.0,2.0,11.0
12.0,5.0,2.0,12.0
